concept_id	search_id	label
GO_0000001	[6, 7, 5, 4, 0]	mitochondrion inheritance
GO_0000002	[6, 7, 2, 6, 0]	mitochondrial genome maintenance
GO_0000011	[6, 8, 1, 5, 0]	vacuole inheritance
GO_0000012	[6, 7, 0, 5, 0]	single strand break repair
GO_0000017	[0, 5, 0, 6, 0]	alpha-glucoside transport
GO_0000018	[6, 7, 6, 6, 0]	regulation of DNA recombination
GO_0000019	[6, 7, 6, 6, 1]	regulation of mitotic recombination
GO_0000022	[6, 1, 3, 7, 0]	mitotic spindle elongation
GO_0000023	[3, 0, 8, 3, 5, 0]	maltose metabolic process
GO_0000024	[3, 0, 8, 3, 5, 1]	maltose biosynthetic process
GO_0000025	[3, 0, 1, 5, 4]	maltose catabolic process
GO_0000027	[6, 3, 0, 6, 0]	ribosomal large subunit assembly
GO_0000028	[6, 3, 0, 6, 1]	ribosomal small subunit assembly
GO_0000032	[3, 0, 8, 1, 7, 0]	cell wall mannoprotein biosynthetic process
GO_0000038	[3, 4, 1, 5, 4, 0]	very long-chain fatty acid metabolic process
GO_0000041	[3, 3, 6, 2, 6, 0]	transition metal ion transport
GO_0000045	[6, 8, 1, 8, 0]	autophagosome assembly
GO_0000050	[3, 7, 4, 2, 0]	urea cycle
GO_0000052	[3, 7, 4, 6, 1, 0]	citrulline metabolic process
GO_0000053	[3, 7, 4, 3, 0]	argininosuccinate metabolic process
GO_0000054	[6, 3, 9, 1, 8, 0]	ribosomal subunit export from nucleus
GO_0000055	[6, 3, 9, 1, 7, 0]	ribosomal large subunit export from nucleus
GO_0000056	[6, 3, 0, 6, 2]	ribosomal small subunit export from nucleus
GO_0000070	[6, 1, 7, 5, 1]	mitotic sister chromatid segregation
GO_0000073	[1, 4, 7, 6, 5, 0]	initial mitotic spindle pole body separation
GO_0000075	[1, 1, 4, 7, 2, 0]	cell cycle checkpoint signaling
GO_0000076	[7, 7, 2, 4, 2, 0]	DNA replication checkpoint signaling
GO_0000077	[6, 7, 1, 2, 0]	DNA damage checkpoint signaling
GO_0000079	[6, 1, 5, 4, 0]	regulation of cyclin-dependent protein serine/threonine kinase activity
GO_0000080	[6, 1, 8, 0, 1, 0]	mitotic G1 phase
