concept_id	search_id	label
HP_0000002	[0, 2, 7, 8, 6, 0]	Abnormality of body height
HP_0000003	[0, 9, 3, 1, 5]	Multicystic kidney dysplasia
HP_0000008	[0, 7, 0, 1, 6, 0]	Abnormal morphology of female internal genitalia
HP_0000009	[0, 7, 0, 7, 6, 0]	Functional abnormality of the bladder
HP_0000010	[0, 8, 1, 4, 8, 0]	Recurrent urinary tract infections
HP_0000011	[0, 1, 2, 6, 0]	Neurogenic bladder
HP_0000012	[0, 9, 9, 8, 0]	Urinary urgency
HP_0000013	[0, 3, 6, 4, 1, 0]	Hypoplasia of the uterus
HP_0000014	[3, 4, 2, 6, 0]	Abnormality of the bladder
HP_0000015	[0, 7, 6, 4, 6, 0]	Bladder diverticulum
HP_0000016	[0, 9, 9, 8, 1]	Urinary retention
HP_0000017	[0, 0, 8, 6, 6, 0]	Nocturia
HP_0000019	[0, 9, 9, 8, 2]	Urinary hesitancy
HP_0000020	[0, 0, 9, 5, 0]	Urinary incontinence
HP_0000021	[0, 0, 5, 2, 0]	Megacystis
HP_0000022	[0, 7, 0, 0, 1, 0]	Abnormal male internal genitalia morphology
HP_0000023	[0, 5, 4, 2, 0, 0]	Inguinal hernia
HP_0000024	[0, 7, 1, 8, 0]	Prostatitis
HP_0000025	[0, 7, 0, 0, 0, 0]	Functional abnormality of male internal genitalia
HP_0000026	[1, 1, 3, 0, 0]	Male hypogonadism
HP_0000027	[0, 7, 0, 7, 8, 0]	Azoospermia
HP_0000028	[7, 0, 9, 0]	Cryptorchidism
HP_0000029	[1, 1, 3, 1, 5]	Testicular atrophy
HP_0000030	[0, 7, 2, 0, 0]	Testicular gonadoblastoma
HP_0000031	[0, 7, 1, 6, 0]	Epididymitis
HP_0000032	[0, 7, 0, 0, 9, 0]	Abnormal male external genitalia morphology
HP_0000033	[0, 7, 0, 0, 1, 1]	Ambiguous genitalia, male
HP_0000034	[0, 7, 2, 0, 1]	Hydrocele testis
HP_0000035	[1, 1, 3, 7, 0]	Abnormal testis morphology
HP_0000036	[0, 7, 0, 0, 8, 0]	Abnormal penis morphology
HP_0000037	[0, 7, 0, 0, 1, 2]	Male pseudohermaphroditism
HP_0000039	[0, 2, 5, 2, 0]	Epispadias
HP_0000040	[0, 7, 0, 5, 3, 0]	Long penis
HP_0000041	[0, 0, 9, 8, 0, 0]	Chordee
HP_0000042	[0, 7, 0, 4, 6, 0]	Absent external genitalia
HP_0000044	[1, 1, 0, 6, 0]	Hypogonadotropic hypogonadism
HP_0000045	[0, 7, 0, 4, 4, 0]	Abnormal scrotum morphology
HP_0000046	[0, 7, 0, 4, 4, 1]	Small scrotum
HP_0000047	[0, 7, 0, 4, 4, 2]	Hypospadias
HP_0000048	[0, 2, 5, 2, 1]	Bifid scrotum
HP_0000049	[0, 7, 6, 7, 0]	Shawl scrotum
HP_0000050	[0, 7, 0, 4, 5, 0]	Hypoplastic male external genitalia
HP_0000051	[0, 7, 0, 4, 0, 0]	Perineal hypospadias
HP_0000052	[0, 7, 0, 6, 0, 0]	Urethral atresia, male
HP_0000053	[0, 3, 3, 0, 0]	Macroorchidism
HP_0000054	[0, 7, 0, 4, 3, 0]	Micropenis
HP_0000055	[0, 7, 0, 1, 1, 0]	Abnormal female external genitalia morphology
HP_0000056	[0, 2, 7, 5, 1, 0]	Abnormal clitoris morphology
HP_0000058	[0, 7, 0, 1, 1, 1]	Abnormal labia morphology
HP_0000059	[0, 2, 7, 4, 1, 0]	Hypoplastic labia majora
HP_0000060	[0, 5, 3, 5, 5, 0]	Clitoral hypoplasia
HP_0000061	[0, 7, 0, 1, 6, 1]	Ambiguous genitalia, female
HP_0000062	[0, 7, 0, 5, 1, 0]	Ambiguous genitalia
HP_0000063	[0, 2, 3, 6, 7, 0]	Fused labia minora
HP_0000064	[0, 2, 7, 1, 9, 0]	Hypoplastic labia minora
HP_0000065	[0, 7, 8, 6, 0]	Labial hypertrophy
HP_0000066	[0, 2, 3, 6, 0, 0]	Labial hypoplasia
HP_0000067	[0, 7, 0, 6, 5, 0]	Urethral atresia, female
HP_0000068	[0, 7, 0, 7, 8, 1]	Urethral atresia
HP_0000069	[0, 4, 2, 4, 1, 0]	Abnormality of the ureter
HP_0000070	[0, 9, 9, 8, 3]	Ureterocele
HP_0000071	[0, 7, 7, 6, 7, 0]	Ureteral stenosis
HP_0000072	[0, 9, 9, 8, 4]	Hydroureter
HP_0000073	[0, 6, 3, 1, 7, 0]	Ureteral duplication
HP_0000074	[0, 7, 0, 6, 2, 0]	Ureteropelvic junction obstruction
HP_0000075	[0, 9, 3, 4, 0]	Renal duplication
HP_0000076	[0, 9, 7, 5, 3]	Vesicoureteral reflux
HP_0000077	[1, 7, 1, 3, 0]	Abnormality of the kidney
HP_0000078	[0, 7, 6, 1, 5, 0]	Abnormality of the genital system
HP_0000079	[1, 7, 1, 3, 1]	Abnormality of the urinary system
HP_0000080	[0, 7, 3, 0, 0]	Abnormality of reproductive system physiology
HP_0000081	[0, 7, 7, 6, 2, 0]	Duplicated collecting system
HP_0000083	[0, 9, 7, 6, 5, 0]	Renal insufficiency
HP_0000085	[0, 9, 3, 3, 2, 0]	Horseshoe kidney
HP_0000086	[0, 9, 3, 3, 3]	Ectopic kidney
HP_0000089	[0, 9, 3, 0, 7]	Renal hypoplasia
HP_0000090	[0, 9, 3, 2, 0]	Nephronophthisis
HP_0000091	[0, 9, 6, 5, 0]	Abnormal renal tubule morphology
HP_0000092	[0, 9, 6, 9, 0]	Renal tubular atrophy
HP_0000093	[1, 7, 3, 6, 0, 0]	Proteinuria
HP_0000095	[0, 9, 0, 7, 6]	Abnormal renal glomerulus morphology
HP_0000096	[0, 9, 0, 2, 6, 0]	Glomerular sclerosis
HP_0000097	[0, 9, 0, 0, 2]	Focal segmental glomerulosclerosis
HP_0000098	[0, 2, 7, 8, 6, 1]	Tall stature
HP_0000099	[0, 9, 7, 6, 2, 0]	Glomerulonephritis
HP_0000100	[0, 9, 7, 8, 0]	Nephrotic syndrome
HP_0000103	[0, 9, 9, 8, 5]	Polyuria
HP_0000104	[0, 3, 2, 0, 0]	Renal agenesis
HP_0000105	[0, 9, 0, 2, 7, 0]	Enlarged kidney
HP_0000107	[0, 7, 2, 4, 0, 0]	Renal cyst
HP_0000108	[0, 9, 3, 1, 0, 0]	Renal corticomedullary cysts
HP_0000110	[0, 9, 3, 5, 0]	Renal dysplasia
